supplier_name,sector,supplier_type,rating,on_time_pct,defect_rate_pct,active_discount,speed_class
AutoZone Commercial,Automotive,Parts,A,94.9,2.9,5% Preferred Partner,2-Day Priority
Advance Auto Parts,Automotive,Parts,A,98.5,1.5,5% Preferred Partner,Standard (3-5 Days)
NAPA Auto Parts,Automotive,Parts,B+,90.3,2.8,Net-30 Terms,Next-Day Air
O'Reilly Auto Parts,Automotive,Parts,B+,98.1,2.6,Net-30 Terms,2-Day Priority
Grainger Industrial Supply,Industrial,Parts,A,93.9,3.9,5% Preferred Partner,Standard (3-5 Days)
Fastenal,Industrial,Parts,B,92.5,1.5,No Auth Discount,Standard (3-5 Days)
Global Industrial,Industrial,Parts,B+,92.8,3.8,Net-30 Terms,2-Day Priority
Motion Industries,Industrial,Parts,B,93.7,3.7,No Auth Discount,Next-Day Air
Sears PartsDirect,Appliance,Parts,A,91.9,2.9,5% Preferred Partner,2-Day Priority
RepairClinic,Appliance,Parts,B,90.6,3.1,No Auth Discount,Next-Day Air
AppliancePartsPros,Appliance,Parts,B,93.5,1.5,No Auth Discount,Standard (3-5 Days)
Marcone Supply,Appliance,Parts,A+,92.4,2.4,10% Enterprise Vol,Standard (3-5 Days)
Digi-Key Electronics,Mobile,Parts,A,92.6,3.1,5% Preferred Partner,Next-Day Air
Mouser Electronics,Mobile,Parts,A+,91.3,1.8,10% Enterprise Vol,Standard (3-5 Days)
iFixit Pro,Mobile,Parts,B,90.4,1.9,No Auth Discount,Next-Day Air
MobileSentrix,Mobile,Parts,A,96.7,3.7,5% Preferred Partner,Next-Day Air
AutoNation Certified,Automotive,Product,B+,96.3,0.8,4% Volume,Standard (5-10 Days)
Carvana Direct,Automotive,Product,A+,97.2,1.7,7% Volume,Standard (5-10 Days)
Hendrick Automotive Group,Automotive,Product,A,99.4,1.9,3% Volume,2-Day Priority
Penske Motor Group,Automotive,Product,A,98.6,1.1,5% Volume,Standard (5-10 Days)
Sonic Automotive,Automotive,Product,B+,94.7,1.2,6% Volume,2-Day Priority
Lithia Motors,Automotive,Product,A,92.1,0.6,8% Volume,Standard (5-10 Days)
Siemens Industrial Hub,Industrial,Product,A,96.1,0.6,12% Volume,Freight (14-30 Days)
ABB Global Sales,Industrial,Product,A,95.4,1.9,10% Volume,Freight (14-30 Days)
Caterpillar Distribution,Industrial,Product,A+,97.6,2.1,8% Volume,LTL Freight (10-21 Days)
Rockwell Automation Direct,Industrial,Product,A+,92.0,0.5,15% Volume,Freight (14-30 Days)
Schneider Electric Commercial,Industrial,Product,A,95.4,1.9,11% Volume,LTL Freight (10-21 Days)
Best Buy Appliance Center,Appliance,Product,B+,95.9,2.4,10% Volume,Standard (3-7 Days)
Home Depot Pro,Appliance,Product,A,94.9,1.4,8% Volume,Standard (3-7 Days)
Lowe's Commercial,Appliance,Product,B+,95.1,1.6,12% Volume,Standard (3-7 Days)
