part_number,brand,description,device_type,system,price_oem,in_stock,supplier,condition,base_price_raw
PRT_AUT_POW_0001,BorgWarner,High-Voltage Inverter Plate,Automotive,Power Train,5188.93,True,AutoZone Commercial,Certified Pre-Owned,6200
PRT_AUT_POW_0002,Hitachi,High-Voltage Inverter Plate,Automotive,Power Train,5805.78,True,O'Reilly Auto Parts,New,5800
PRT_AUT_POW_0003,Bosch,High-Voltage Inverter Plate,Automotive,Power Train,5754.7,True,Advance Auto Parts,New,5650
PRT_AUT_POW_0004,Magna,Rear Axle Drive Module,Automotive,Power Train,6930.12,True,NAPA Auto Parts,Certified Pre-Owned,8500
PRT_AUT_POW_0005,Dana,Rear Axle Drive Module,Automotive,Power Train,7068.26,True,Advance Auto Parts,New,7200
PRT_AUT_POW_0006,ZF,Rear Axle Drive Module,Automotive,Power Train,6893.31,True,NAPA Auto Parts,Never Used (Old Stock),7800
PRT_AUT_POW_0007,Aisin,PDK Transmission Clutch Pack,Automotive,Power Train,3233.65,True,NAPA Auto Parts,New,3200
PRT_AUT_POW_0008,ZF,PDK Transmission Clutch Pack,Automotive,Power Train,2440.52,True,O'Reilly Auto Parts,Certified Pre-Owned,2950
PRT_AUT_POW_0009,Valeo,PDK Transmission Clutch Pack,Automotive,Power Train,2856.99,True,AutoZone Commercial,New,2800
PRT_AUT_CHA_0001,Brembo,Ceramic Composite Brake Pad Set,Automotive,Chassis,1227.18,True,AutoZone Commercial,New,1250
PRT_AUT_CHA_0002,Akebono,Ceramic Composite Brake Pad Set,Automotive,Chassis,637.51,True,Advance Auto Parts,Refurbished,950
PRT_AUT_CHA_0003,Ferodo,Ceramic Composite Brake Pad Set,Automotive,Chassis,1074.77,False,Advance Auto Parts,New,1100
PRT_AUT_CHA_0004,Continental,Active Air Suspension Strut,Automotive,Chassis,2739.7,True,NAPA Auto Parts,New,2800
PRT_AUT_CHA_0005,Bilstein,Active Air Suspension Strut,Automotive,Chassis,1887.47,True,Advance Auto Parts,Never Used (Old Stock),2100
PRT_AUT_CHA_0006,Sachs,Active Air Suspension Strut,Automotive,Chassis,2355.38,False,O'Reilly Auto Parts,New,2300
PRT_AUT_CHA_0007,Brembo,6-Piston Aluminum Caliper,Automotive,Chassis,1281.28,True,O'Reilly Auto Parts,Refurbished,1850
PRT_AUT_CHA_0008,Wilwood,6-Piston Aluminum Caliper,Automotive,Chassis,1689.47,True,Advance Auto Parts,New,1650
PRT_AUT_CHA_0009,AP Racing,6-Piston Aluminum Caliper,Automotive,Chassis,1330.0,False,Advance Auto Parts,Refurbished,1980
PRT_AUT_CHA_0010,Michelin,Sport Tire Set (Performance Spec),Automotive,Chassis,438.95,True,O'Reilly Auto Parts,New,450
PRT_AUT_CHA_0011,Pirelli,Sport Tire Set (Performance Spec),Automotive,Chassis,335.08,True,NAPA Auto Parts,Certified Pre-Owned,420
PRT_AUT_CHA_0012,Continental,Sport Tire Set (Performance Spec),Automotive,Chassis,404.25,True,Advance Auto Parts,New,410
PRT_AUT_THE_0001,Mahle,High-Voltage Coolant Heater,Automotive,Thermal,1546.42,True,NAPA Auto Parts,Certified Pre-Owned,1850
PRT_AUT_THE_0002,Denso,High-Voltage Coolant Heater,Automotive,Thermal,1159.78,False,AutoZone Commercial,Certified Pre-Owned,1450
PRT_AUT_THE_0003,Modine,High-Voltage Coolant Heater,Automotive,Thermal,1347.29,True,NAPA Auto Parts,New,1380
PRT_AUT_THE_0004,Bosch,Thermal Management Module,Automotive,Thermal,1223.28,True,O'Reilly Auto Parts,New,1200
PRT_AUT_THE_0005,Valeo,Thermal Management Module,Automotive,Thermal,588.12,False,NAPA Auto Parts,Used,1100
PRT_AUT_THE_0006,Mahle,Thermal Management Module,Automotive,Thermal,727.02,True,NAPA Auto Parts,Refurbished,1050
PRT_AUT_CHA_0013,Eaton,7.2kW On-Board Charger,Automotive,Charging,2316.54,True,Advance Auto Parts,New,2250
PRT_AUT_CHA_0014,Delta,7.2kW On-Board Charger,Automotive,Charging,1559.16,True,O'Reilly Auto Parts,Certified Pre-Owned,1950
PRT_AUT_CHA_0015,Rectifier EV,7.2kW On-Board Charger,Automotive,Charging,1192.37,True,AutoZone Commercial,Refurbished,1800
PRT_AUT_CHA_0016,Bosch,DC Fast Charge Port Assembly,Automotive,Charging,825.08,True,O'Reilly Auto Parts,New,850
PRT_AUT_CHA_0017,TE Connectivity,DC Fast Charge Port Assembly,Automotive,Charging,631.54,False,AutoZone Commercial,Certified Pre-Owned,780
PRT_AUT_CHA_0018,Amphenol,DC Fast Charge Port Assembly,Automotive,Charging,821.47,True,AutoZone Commercial,New,820
PRT_AUT_ENG_0001,Bosch,High-Precision Ignition Coil (M4),Automotive,Engine,100.24,True,AutoZone Commercial,Certified Pre-Owned,125
PRT_AUT_ENG_0002,NGK,High-Precision Ignition Coil (M4),Automotive,Engine,79.88,True,O'Reilly Auto Parts,Refurbished,115
PRT_AUT_ENG_0003,Delphi,High-Precision Ignition Coil (M4),Automotive,Engine,81.23,True,NAPA Auto Parts,Refurbished,118
PRT_AUT_ENG_0004,Bosch,Silver-Electrode Spark Plug (BMW),Automotive,Engine,39.36,True,O'Reilly Auto Parts,Never Used (Old Stock),45
PRT_AUT_ENG_0005,NGK,Silver-Electrode Spark Plug (BMW),Automotive,Engine,30.88,True,O'Reilly Auto Parts,Certified Pre-Owned,38
PRT_AUT_ENG_0006,Denso,Silver-Electrode Spark Plug (BMW),Automotive,Engine,23.42,True,Advance Auto Parts,Used,42
PRT_AUT_ENG_0007,Denso,Direct Fuel Injector (ICE),Automotive,Engine,342.78,True,O'Reilly Auto Parts,New,350
PRT_AUT_ENG_0008,Bosch,Direct Fuel Injector (ICE),Automotive,Engine,335.0,True,O'Reilly Auto Parts,New,340
PRT_AUT_ENG_0009,Delphi,Direct Fuel Injector (ICE),Automotive,Engine,303.53,True,AutoZone Commercial,Never Used (Old Stock),330
PRT_AUT_ENG_0010,Bosch,Turbo-Charged Intake Valve,Automotive,Engine,1278.92,True,Advance Auto Parts,New,1250
PRT_AUT_ENG_0011,Valeo,Turbo-Charged Intake Valve,Automotive,Engine,977.29,True,NAPA Auto Parts,Never Used (Old Stock),1100
PRT_AUT_ENG_0012,Gates,Turbo-Charged Intake Valve,Automotive,Engine,961.38,False,O'Reilly Auto Parts,Certified Pre-Owned,1150
PRT_AUT_COO_0001,Continental,Coolant Control Valve,Automotive,Cooling,850.89,True,O'Reilly Auto Parts,New,850
PRT_AUT_COO_0002,Gates,Coolant Control Valve,Automotive,Cooling,801.11,True,O'Reilly Auto Parts,New,780
PRT_AUT_COO_0003,Dorman,Coolant Control Valve,Automotive,Cooling,589.14,True,AutoZone Commercial,Certified Pre-Owned,720
PRT_AUT_COO_0004,Bosch,OEM Precision Thermostat,Automotive,Cooling,414.72,True,AutoZone Commercial,New,420
PRT_AUT_COO_0005,Gates,OEM Precision Thermostat,Automotive,Cooling,329.25,False,Advance Auto Parts,Certified Pre-Owned,395
PRT_AUT_COO_0006,Wahler,OEM Precision Thermostat,Automotive,Cooling,380.46,True,NAPA Auto Parts,New,380
PRT_AUT_COO_0007,Mishimoto,Performance Radiator Core,Automotive,Cooling,530.65,True,Advance Auto Parts,Certified Pre-Owned,650
PRT_AUT_COO_0008,Koyo,Performance Radiator Core,Automotive,Cooling,341.1,True,O'Reilly Auto Parts,Used,620
PRT_AUT_COO_0009,CSF,Performance Radiator Core,Automotive,Cooling,496.22,True,AutoZone Commercial,Certified Pre-Owned,590
